"launch_rank","provisional_onet_soc_code","title","role_family","priority_band","rationale","data_readiness","status","notes"
"33","13-1081.00","Logisticians","operations","core","Interesting mix of coordination planning and routine workflow work","medium","selected","rebalanced_launch_seed"
"34","13-1041.00","Compliance Officers","operations","core","Rule-heavy review role with meaningful quality thresholds","medium","selected","rebalanced_launch_seed"
"35","11-3031.00","Financial Managers","finance","core","Adds higher-authority finance ownership above accountants and analysts","high","selected","phase2_live_promotion"
"36","15-1232.00","Computer User Support Specialists","software","core","Adds high-volume support-side IT work missing from the current software stack","high","selected","phase2_live_promotion"
"37","11-3021.00","Computer and Information Systems Managers","software","core","Adds technical management and organizational adoption authority now proxied too loosely by operations managers","medium","selected","phase2_live_promotion"
"38","13-1023.00","Purchasing Agents, Except Wholesale, Retail, and Farm Products","operations","core","Procurement and vendor evaluation are a major white-collar workflow gap in the current set","medium","selected","phase2_live_promotion|bls_broad_row_fallback_13_1020_00"
"39","11-2022.00","Sales Managers","sales","core","Adds formal quota-setting and sales leadership above current frontline sales roles","medium","selected","phase2_live_promotion"
"40","43-3021.00","Billing and Posting Clerks","finance","core","Adds a routine revenue-cycle role adjacent to bookkeeping but with a different workflow shape","high","selected","phase2_live_promotion"
"41","15-1244.00","Network and Computer Systems Administrators","software","core","Adds IT infrastructure and uptime stewardship missing from current software coverage","high","selected","phase2_live_promotion"
"42","13-1031.00","Claims Adjusters, Examiners, and Investigators","operations","core","Adds document-heavy but judgment-constrained insurance review work","medium","selected","phase2_live_promotion|insurance_work_mapped_to_operations"
"43","13-2072.00","Loan Officers","finance","core","Adds credit-evaluation and client-facing finance work absent from current finance coverage","medium","selected","phase2_live_promotion"
"44","15-1253.00","Software Quality Assurance Analysts and Testers","software","core","Adds a software execution-and-review layer currently hidden inside developer baselines","high","selected","phase2_live_promotion"
"45","15-1212.00","Information Security Analysts","software","core","Adds high-judgment defensive IT work with stronger guardrails than general systems roles","medium","selected","phase2_live_promotion"
"46","15-1241.00","Computer Network Architects","software","core","Adds higher-design infrastructure work above system administration","medium","selected","phase2_live_promotion"
"47","11-2021.00","Marketing Managers","marketing","core","Adds manager-level commercial judgment and budget ownership above current marketing specialist work","medium","selected","phase2_live_promotion"
"48","11-3121.00","Human Resources Managers","hr","core","Adds higher-authority people governance above HR specialists and training roles","medium","selected","phase2_live_promotion"
"49","13-2052.00","Personal Financial Advisors","finance","core","Adds relationship-heavy advice work with stronger trust than analyst roles","medium","selected","phase2_live_promotion"
"50","41-3031.00","Securities, Commodities, and Financial Services Sales Agents","sales","core","Adds high-pressure regulated sales work distinct from service-sales baseline","medium","selected","phase2_live_promotion"
"51","41-3021.00","Insurance Sales Agents","sales","core","Adds policy-selling work with more standardized workflows than service sales","medium","selected","phase2_live_promotion"
"52","17-2051.00","Civil Engineers","engineering","core","Adds major non-software engineering coverage with project and compliance coupling","medium","selected","phase2_live_promotion"
"53","17-2112.00","Industrial Engineers","engineering","core","Adds process-optimization engineering likely to show a distinct AI transformation path","medium","selected","phase2_live_promotion"
"54","11-9041.00","Architectural and Engineering Managers","engineering","core","Adds manager-level engineering coordination and sign-off above current engineer roles","medium","selected","phase2_live_promotion"
"55","41-4011.00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","sales","core","Adds technical B2B selling with product knowledge and account translation","medium","selected","phase2_live_promotion"
"56","11-9141.00","Property, Real Estate, and Community Association Managers","operations","core","Adds operations-heavy stakeholder management outside the current business-ops set","medium","selected","phase2_live_promotion"
"57","13-1051.00","Cost Estimators","operations","core","Adds estimate-building and pricing workflow work between finance and project operations","medium","selected","phase2_live_promotion"
"58","11-3071.00","Transportation, Storage, and Distribution Managers","operations","core","Adds logistics leadership above current logistician baseline","medium","selected","phase2_live_promotion"
"59","43-4131.00","Loan Interviewers and Clerks","finance","core","Adds lower-authority credit workflow support beneath loan officers","high","selected","phase2_live_promotion"
"60","43-9041.00","Insurance Claims and Policy Processing Clerks","operations","core","Adds routine insurance workflow execution beneath adjusters","high","selected","phase2_live_promotion|insurance_work_mapped_to_operations"
"61","43-4171.00","Receptionists and Information Clerks","admin","core","Adds front-desk information routing and intake missing from current admin mix","high","selected","phase2_live_promotion"
"62","43-1011.00","First-Line Supervisors of Office and Administrative Support Workers","admin","core","Adds managerial admin coordination above current clerical roles","medium","selected","phase2_live_promotion"
"63","43-4031.00","Court, Municipal, and License Clerks","legal","core","Adds public-sector legal-adjacent clerical workflow not represented by paralegal/lawyer pair","medium","selected","phase2_live_promotion"
"64","17-2071.00","Electrical Engineers","engineering","core","Adds another major systems-engineering branch beyond electronics and mechanical","medium","selected","phase2_live_promotion"
"65","17-3029.00","Engineering Technologists and Technicians, Except Drafters, All Other","engineering","stretch","Applied engineering support role for a lower-seniority comparison","medium","candidate","rebalanced_launch_seed"
"66","15-2041.00","Statisticians","data","stretch","Higher-rigor analytical comparison against data scientists and statistical assistants","medium","candidate","rebalanced_launch_seed"
