"occupation_id","onet_task_id","task_statement","task_family_id","task_type","importance","frequency","source_mix","notes"
"occ_41_3091_00","manual_sr_02","Coordinate solution scoping with delivery, product, or account teams.","cluster_coordination","Core","0.74","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_41_3091_00","manual_sr_03","Negotiate commercial terms and move service deals to close.","cluster_relationship_management","Core","0.82","0.68","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_01","Triage operational requests across teams and assign owners for follow-up.","cluster_coordination","Core","0.72","0.66","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_02","Prepare status dashboards, trackers, and exception summaries for leaders.","cluster_documentation","Supplemental","0.68","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_03","Investigate process breakdowns and recommend operational fixes.","cluster_analysis","Core","0.79","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_04","Maintain vendor, compliance, or program trackers used by multiple teams.","cluster_workflow_admin","Core","0.70","0.74","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_05","Support cross-functional rollout plans and follow up on open actions.","cluster_coordination","Core","0.74","0.63","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_06","Draft SOP updates and process guidance when workflows change.","cluster_documentation","Supplemental","0.69","0.56","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_07","Monitor handoffs and escalate unresolved blockers before they delay delivery.","cluster_coordination","Core","0.75","0.61","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_08","Reconcile inputs from finance, operations, and customer teams before decisions are made.","cluster_analysis","Core","0.73","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_09","Coordinate vendor onboarding, documentation, and issue follow-up across stakeholders.","cluster_coordination","Core","0.69","0.57","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_10","Audit trackers or program records for missing data, exceptions, and overdue items.","cluster_qa_review","Core","0.71","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_11","Prepare decision memos or summaries for operational tradeoffs and escalations.","cluster_decision_support","Core","0.75","0.54","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_12","Maintain recurring meeting cadences, agendas, and follow-up logs for operating reviews.","cluster_workflow_admin","Supplemental","0.67","0.66","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_13","Support invoice, purchasing, or budget coordination for cross-team initiatives.","cluster_execution_routine","Supplemental","0.63","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_14","Translate policy or compliance changes into operational checklists and workflow updates.","cluster_documentation","Core","0.72","0.53","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_15","Surface program risks, unresolved dependencies, and decisions needed from leadership.","cluster_decision_support","Core","0.76","0.51","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_16","Coordinate onboarding or enablement tasks when new processes, vendors, or systems launch.","cluster_coordination","Core","0.70","0.56","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_15_1212_00","manual_isa_01","Model attacker paths, control dependencies, and blast-radius scenarios before remediation priorities are set.","cluster_research_synthesis","Core","0.78","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_15_1212_00","manual_isa_02","Turn incident reviews and control failures into updated playbooks, ownership changes, and security program improvements.","cluster_oversight_strategy","Core","0.74","0.54","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_15_1212_00","manual_isa_03","Explain security tradeoffs to engineers and business owners when operational urgency and control requirements conflict.","cluster_client_interaction","Core","0.72","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3031_00","manual_pr_01","Cultivate reporter, creator, partner, and stakeholder relationships so outreach lands with the right audience before narratives harden.","cluster_relationship_management","Core","0.76","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3031_00","manual_pr_02","Synthesize audience sentiment, competitor moves, and issue context into message framing before public campaigns or responses go live.","cluster_research_synthesis","Core","0.78","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_27_3031_00","manual_pr_03","Set messaging hierarchy, approval boundaries, and escalation rules across launches, issues, and executive communications.","cluster_oversight_strategy","Core","0.74","0.54","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4131_00","manual_li_01","Explain document gaps, condition requests, and timing tradeoffs so borrowers can keep files moving without avoidable confusion.","cluster_client_interaction","Core","0.76","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4131_00","manual_li_02","Reconstruct file history across conditions, disclosures, and underwriting feedback when exceptions have to be resolved under deadline.","cluster_research_synthesis","Core","0.74","0.54","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4131_00","manual_li_03","Escalate fraud, compliance, or borrower-fit concerns when file facts no longer match standard processing paths.","cluster_decision_support","Core","0.72","0.50","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4171_00","manual_rec_01","De-escalate confused, upset, or policy-sensitive visitor interactions and hand them off without losing trust or context.","cluster_relationship_management","Core","0.74","0.56","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4171_00","manual_rec_02","Track visitor patterns, coverage gaps, and recurring workplace issues so front-desk processes can be adjusted before service breaks down.","cluster_analysis","Core","0.70","0.50","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_43_4171_00","manual_rec_03","Coordinate host availability, room readiness, and facilities or security follow-through when arrivals depend on several teams.","cluster_coordination","Core","0.76","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
