"occupation_id","function_key","function_category","role_summary","function_statement","accountability_statement","primary_output","primary_stakeholder","function_weight","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","priority_task_families","source_mix","notes"
"occ_41_3091_00","account_stewardship","account_stewardship","Protect and grow revenue by keeping active accounts aligned after the initial sale.","Turn service delivery context and customer risk into retained trust and account continuity.","Remain accountable for account trust, renewal risk, and coordination when delivery issues threaten revenue.","Retained accounts and expanded customer trust","Customer and revenue owner","0.38","0.72","0.88","0.20","0.52","0.80","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_23_2011_00","matter_coordination","matter_coordination","Keep legal matters execution-ready by coordinating filings, packets, records, and attorney handoffs.","Turn deadlines, documents, and procedural requirements into matter-ready legal operations flow.","Remain accountable for deadline integrity, packet readiness, and escalation when procedural work blocks attorney action.","Execution-ready legal matter flow","Attorney, client, and legal operations team","0.34","0.70","0.74","0.70","0.46","0.58","cluster_coordination|cluster_documentation|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1071_00","people_advisory","people_advisory","Help managers and employees navigate policy, context, and people decisions that cannot be reduced to forms alone.","Turn policy, employee context, and manager needs into workable people guidance and escalations.","Remain accountable for policy interpretation, escalation quality, and context-sensitive people guidance.","Context-sensitive people guidance and escalations","Managers, employees, and HR leadership","0.34","0.80","0.78","0.48","0.58","0.68","cluster_relationship_management|cluster_decision_support|cluster_client_interaction|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1111_00","change_enablement","change_enablement","Move recommendations into real adoption by aligning stakeholders, sequencing change, and resolving operating friction.","Turn analysis, tradeoffs, and stakeholder concerns into executable change and adoption decisions.","Remain accountable for implementation realism, stakeholder alignment, and escalation when recommendations break in practice.","Adopted change and aligned implementation","Leadership and operating teams","0.34","0.80","0.76","0.26","0.58","0.68","cluster_coordination|cluster_client_interaction|cluster_oversight_strategy|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_2011_00","finance_advisory","finance_advisory","Translate control, audit, and reporting work into decision-ready financial guidance for the business.","Turn findings, reconciliations, and financial signals into decision support and control-aware recommendations.","Remain accountable for interpretation quality, financial control judgment, and escalation of material issues.","Decision-ready financial guidance","Leadership and operating owners","0.34","0.82","0.72","0.56","0.60","0.68","cluster_decision_support|cluster_coordination|cluster_qa_review|cluster_analysis","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_2011_00","audit_assurance","audit_assurance","Test controls, examine records, and surface audit findings that expose financial or compliance risk.","Turn transaction evidence, control testing, and audit procedures into defensible assurance findings and remediation priorities.","Remain accountable for assurance quality, control-testing rigor, and escalation of material audit findings, but not for most final executive sign-off.","Defensible audit findings and remediation priorities","Controllers, finance leadership, regulators, and audit committees","0.33","0.82","0.76","0.56","0.62","0.70","cluster_qa_review|cluster_analysis|cluster_documentation|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor|role_shape_variant_review"
"occ_13_2051_00","stakeholder_translation","stakeholder_translation","Translate financial analysis into recommendations, tradeoffs, and planning decisions that leaders can act on.","Turn forecasts, scenarios, and performance signals into stakeholder-ready recommendations and financial tradeoffs.","Remain accountable for interpretation quality, recommendation clarity, and fit between financial models and business decisions.","Decision-ready financial recommendations and tradeoffs","Finance leadership and business partners","0.34","0.80","0.72","0.38","0.52","0.64","cluster_decision_support|cluster_client_interaction|cluster_coordination|cluster_research_synthesis","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1161_00","marketing_ops","marketing_operations","Keep marketing measurement and workflow systems aligned so campaign, funnel, and automation signals turn into usable demand decisions.","Turn attribution, reporting, CRM hygiene, testing loops, and handoffs into coordinated revenue workflow.","Remain accountable for measurement integrity, workflow reliability, and escalation when funnel or automation systems distort decisions.","Coordinated marketing measurement and funnel workflow","Marketing lead, sales, and revenue operations","0.39","0.66","0.60","0.20","0.42","0.54","cluster_analysis|cluster_workflow_admin|cluster_coordination|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_27_3023_00","broadcast_orchestration","broadcast_orchestration","Shape live or produced news output so reporting becomes coherent programming under deadline.","Turn segment selection, producer coordination, presentation flow, and package timing into broadcast-ready output.","Remain accountable for live presentation judgment, editorial sequencing, and release readiness under deadline.","Broadcast-ready segments and presentation flow","Audience, editor, and producer","0.34","0.74","0.78","0.24","0.50","0.62","cluster_coordination|cluster_workflow_admin|cluster_documentation|cluster_analysis","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1211_00","requirements_translation","requirements_translation","Turn stakeholder needs and process realities into workable system requirements, tradeoffs, and rollout choices.","Translate business context, process constraints, and stakeholder priorities into system decisions people can actually adopt.","Remain accountable for requirements quality, stakeholder interpretation, and fit between systems and workflow reality.","Adoptable requirements and system tradeoffs","Business stakeholders and implementation teams","0.34","0.80","0.72","0.30","0.54","0.64","cluster_decision_support|cluster_coordination|cluster_client_interaction|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_2031_00","decision_translation","decision_translation","Translate quantitative models into recommendations, tradeoffs, and operating choices people can actually use.","Turn optimization outputs, scenarios, and uncertainty into stakeholder-ready decisions and workflow changes.","Remain accountable for model interpretation, recommendation quality, and fit between analytical outputs and operational decisions.","Decision-ready recommendations and workflow guidance","Operators, product leaders, and business stakeholders","0.34","0.80","0.70","0.24","0.52","0.64","cluster_decision_support|cluster_client_interaction|cluster_coordination|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_3031_00","resource_allocation_leadership","resource_allocation_leadership","Translate financial signals into budget, capital, and risk tradeoffs that shape how the organization allocates resources.","Turn financial planning, performance signals, and control constraints into staffing, investment, and resource decisions.","Remain accountable for capital prioritization, operating tradeoffs, and escalation when financial risk changes the plan.","Budget, capital, and resource-allocation decisions","Leadership and operating owners","0.34","0.82","0.72","0.60","0.74","0.78","cluster_oversight_strategy|cluster_decision_support|cluster_coordination|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1232_00","workflow_adoption_enablement","workflow_adoption_enablement","Help users adopt tools and workflows by turning technical fixes into repeatable support guidance, training, and handoffs.","Translate recurring issues, setup work, and documentation needs into smoother day-to-day tool use.","Remain accountable for user enablement quality, support handoff clarity, and escalation when issues require deeper technical ownership.","Usable support guidance and smoother tool adoption","Employee or end user","0.34","0.64","0.74","0.20","0.40","0.52","cluster_documentation|cluster_coordination|cluster_client_interaction|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_3021_00","portfolio_delivery_leadership","portfolio_delivery_leadership","Align projects, vendors, teams, and budgets so technology commitments become delivered organizational change.","Turn competing demands, delivery risk, and cross-functional friction into sequenced technology execution.","Remain accountable for delivery prioritization, coordination quality, and escalation when portfolios drift off plan.","Sequenced technology delivery and organizational alignment","Leadership and technical teams","0.34","0.80","0.72","0.42","0.72","0.78","cluster_oversight_strategy|cluster_coordination|cluster_relationship_management|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1023_00","vendor_relationship_stewardship","vendor_relationship_stewardship","Protect supplier performance and workable terms by managing vendor trust, delivery issues, and commercial follow-through.","Turn supplier interactions, contract friction, and delivery risk into maintained sourcing continuity.","Remain accountable for vendor judgment, relationship quality, and escalation when suppliers or terms stop fitting operational needs.","Stable supplier relationships and procurement continuity","Internal requestor and supplier base","0.34","0.72","0.76","0.50","0.48","0.62","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_2022_00","team_commercial_direction","team_commercial_direction","Turn revenue goals into manager-level direction on staffing, pricing discipline, and frontline sales priorities.","Translate market signals and team performance into quota, coverage, and coaching decisions.","Remain accountable for team direction, commercial judgment, and escalation when pipeline or service issues threaten outcomes.","Manager-level commercial direction and sales priorities","Sales team and revenue leadership","0.34","0.80","0.84","0.28","0.72","0.82","cluster_oversight_strategy|cluster_relationship_management|cluster_client_interaction|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_3021_00","exception_reconciliation","exception_reconciliation","Keep billing workflow credible by reconciling discrepancies, correcting errors, and surfacing exceptions before they spread downstream.","Turn mismatched records, missing information, and charge anomalies into corrected revenue-cycle output.","Remain accountable for exception handling quality, record correction, and escalation when discrepancies affect accounts materially.","Resolved billing exceptions and corrected records","Finance operations and customer account teams","0.32","0.66","0.60","0.44","0.38","0.48","cluster_qa_review|cluster_analysis|cluster_documentation|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1244_00","incident_response_coordination","incident_response_coordination","Keep infrastructure problems contained by coordinating incidents, handoffs, and service restoration around active systems.","Turn alerts, outages, maintenance events, and user impact into sequenced response and recovery work.","Remain accountable for response coordination, service communication, and escalation when incidents exceed routine administration.","Coordinated incident response and service recovery","Users, operators, and IT leadership","0.34","0.72","0.66","0.36","0.46","0.58","cluster_coordination|cluster_qa_review|cluster_documentation|cluster_client_interaction","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1031_00","investigation_coordination","investigation_coordination","Keep claims review moving by coordinating interviews, records, legal handoffs, and disputed-claim follow-through.","Turn contested facts, claimant communication, and process deadlines into execution-ready claims workflow.","Remain accountable for investigation flow, communication quality, and escalation when evidence is incomplete or contested.","Execution-ready investigation flow and documented follow-through","Claimant, carrier, and legal partner","0.34","0.76","0.78","0.68","0.52","0.64","cluster_coordination|cluster_client_interaction|cluster_qa_review|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_2072_00","relationship_portfolio_guidance","relationship_portfolio_guidance","Preserve borrower trust and portfolio fit by guiding applicants through options, follow-up, and next-step coordination.","Turn borrower communication, document gaps, and product fit questions into maintained lending momentum.","Remain accountable for client guidance, relationship quality, and escalation when borrower needs or policy fit become ambiguous.","Sustained borrower momentum and portfolio fit guidance","Borrower and lending institution","0.34","0.76","0.82","0.58","0.48","0.68","cluster_client_interaction|cluster_relationship_management|cluster_coordination|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1253_00","test_automation_enablement","test_automation_enablement","Scale product-quality work by building reusable testing tools, procedures, and release controls around the core QA flow.","Turn repetitive checks, tooling opportunities, and quality standards into repeatable testing infrastructure.","Remain accountable for test-program usefulness, quality workflow fit, and escalation when automation hides product risk.","Reusable test tooling and repeatable quality workflow","Engineering and quality teams","0.32","0.74","0.64","0.28","0.44","0.58","cluster_analysis|cluster_coordination|cluster_documentation|cluster_qa_review","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1212_00","incident_readiness","incident_readiness","Prepare the organization to respond to security events by coordinating alerts, evidence handling, and defensive workflow readiness.","Turn detection signals, control gaps, and response procedures into faster, more defensible security action.","Remain accountable for response readiness, escalation quality, and evidence discipline when active threats emerge.","Security-incident readiness and coordinated defensive action","Security leadership and operating teams","0.34","0.82","0.74","0.72","0.56","0.68","cluster_qa_review|cluster_coordination|cluster_oversight_strategy|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_15_1241_00","implementation_governance","implementation_governance","Carry architecture into reality by coordinating implementation choices, standards adoption, and exceptions across network changes.","Turn design intent, platform constraints, and rollout friction into workable infrastructure execution.","Remain accountable for standards fit, implementation governance, and escalation when build decisions weaken the architecture.","Governed network implementation and standards adherence","Operators and technical leadership","0.34","0.82","0.66","0.44","0.60","0.68","cluster_coordination|cluster_qa_review|cluster_decision_support|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_2021_00","team_budget_orchestration","team_budget_orchestration","Turn market plans into coordinated budget, staffing, and execution decisions across the marketing organization.","Translate campaign priorities, team capacity, and commercial pressure into sequenced go-to-market work.","Remain accountable for execution prioritization, cross-functional alignment, and escalation when marketing plans no longer fit resources.","Coordinated marketing execution and budget direction","Marketing team and revenue leadership","0.34","0.78","0.68","0.22","0.68","0.74","cluster_oversight_strategy|cluster_coordination|cluster_relationship_management|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_3121_00","manager_coaching_enablement","manager_coaching_enablement","Help leaders handle people issues well by translating policy, context, and employee risk into workable manager action.","Turn workforce friction, policy questions, and sensitive situations into supported people decisions.","Remain accountable for coaching quality, escalation judgment, and alignment between policy and real manager behavior.","Context-sensitive manager guidance and escalations","Managers and employees","0.34","0.80","0.84","0.66","0.58","0.72","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_2052_00","relationship_book_stewardship","relationship_book_stewardship","Protect long-term client trust by managing follow-through, communication cadence, and advice continuity after an initial recommendation.","Turn ongoing client context and account change into retained trust and next-step advisory flow.","Remain accountable for relationship quality, continuity of guidance, and escalation when client needs or risk posture change materially.","Maintained client trust and advisory continuity","Client and advisory firm","0.34","0.82","0.90","0.54","0.46","0.80","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_41_3031_00","book_stewardship","book_stewardship","Protect regulated revenue by managing account follow-through, relationship continuity, and compliance-aware sales motion after the initial pitch.","Turn prospect activity, client communication, and process follow-through into maintained commercial momentum.","Remain accountable for relationship quality, account continuity, and escalation when compliance or suitability concerns interrupt the sale.","Maintained regulated account momentum and client continuity","Client and revenue owner","0.34","0.76","0.86","0.58","0.44","0.78","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_41_3021_00","policy_service_stewardship","policy_service_stewardship","Preserve trust and renewals by helping clients understand coverage changes, servicing needs, and next-step follow-through.","Turn policy questions, account updates, and renewal risk into maintained customer continuity.","Remain accountable for relationship trust, servicing clarity, and escalation when policy fit or customer needs change.","Maintained policy relationships and renewal continuity","Customer and agency","0.34","0.72","0.84","0.52","0.42","0.74","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_17_2051_00","project_delivery_integration","project_delivery_integration","Carry civil designs into workable project execution by coordinating field realities, review cycles, and delivery constraints.","Turn drawings, compliance requirements, and construction feedback into integrated engineering follow-through.","Remain accountable for integration quality, issue escalation, and coordination when site or project realities pressure the design.","Integrated project delivery and engineering follow-through","Project team, public agency, and client","0.34","0.78","0.68","0.62","0.56","0.68","cluster_coordination|cluster_qa_review|cluster_documentation|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_17_2112_00","change_implementation","change_implementation","Move process-design ideas into real operating change by coordinating trials, workflow changes, and adoption follow-through.","Turn optimization findings, quality checks, and operating friction into implemented process improvement.","Remain accountable for implementation realism, rollout quality, and escalation when the designed process fails in practice.","Implemented process improvements and validated workflow change","Operations leadership and plant teams","0.34","0.74","0.64","0.36","0.48","0.62","cluster_coordination|cluster_qa_review|cluster_decision_support|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_9041_00","technical_signoff_stewardship","technical_signoff_stewardship","Preserve engineering quality by carrying technical review, escalation, and sign-off discipline above the day-to-day delivery layer.","Turn technical risk, review findings, and cross-team dependencies into accountable engineering decisions.","Remain accountable for sign-off quality, escalation judgment, and technical tradeoffs that affect delivery risk.","Defensible technical sign-off and engineering escalation","Leadership and engineering organization","0.34","0.84","0.70","0.54","0.74","0.80","cluster_qa_review|cluster_oversight_strategy|cluster_decision_support|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_41_4011_00","solution_translation","solution_translation","Turn product complexity into customer understanding so technical selling does not stop at generic commercial motion.","Translate product constraints, technical tradeoffs, and customer workflow needs into usable commercial guidance.","Remain accountable for solution fit, translation quality, and escalation when technical reality changes the sales path.","Customer-ready solution translation and deal guidance","Customer and revenue owner","0.34","0.78","0.84","0.28","0.44","0.76","cluster_decision_support|cluster_client_interaction|cluster_coordination|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_9141_00","resident_vendor_stewardship","resident_vendor_stewardship","Keep properties workable by coordinating tenants, vendors, and local issues that shape day-to-day asset experience.","Turn resident needs, site issues, and service follow-through into stable property operations.","Remain accountable for stakeholder communication, service continuity, and escalation when site issues become material.","Stable property experience and service continuity","Resident, vendor, and asset owner","0.34","0.72","0.82","0.46","0.46","0.64","cluster_relationship_management|cluster_client_interaction|cluster_coordination|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_13_1051_00","commercial_coordination","commercial_coordination","Carry estimates into approvals and bids by coordinating assumptions, revisions, and stakeholder follow-through around the number.","Turn scope questions, pricing updates, and bid pressure into aligned commercial workflow.","Remain accountable for estimate communication, assumption handoff, and escalation when revisions materially change the commercial picture.","Aligned estimate handoff and commercial follow-through","Project lead and commercial owner","0.34","0.74","0.66","0.32","0.42","0.60","cluster_coordination|cluster_client_interaction|cluster_documentation|cluster_decision_support","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_11_3071_00","distribution_network_leadership","distribution_network_leadership","Keep transportation and distribution systems reliable by directing exceptions, capacity tradeoffs, and cross-site coordination.","Turn service issues, throughput constraints, and operational risk into manager-level logistics decisions.","Remain accountable for network continuity, escalation quality, and tradeoffs between service, cost, and capacity.","Manager-level distribution continuity and operating direction","Operations leadership and network teams","0.34","0.80","0.68","0.50","0.68","0.72","cluster_oversight_strategy|cluster_coordination|cluster_decision_support|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_4131_00","intake_exception_coordination","intake_exception_coordination","Keep lending intake from stalling by chasing missing documents, clarifying borrower questions, and routing exceptions cleanly.","Turn incomplete files and borrower follow-up into review-ready lending workflow.","Remain accountable for follow-through quality, exception routing, and escalation when intake issues affect eligibility or timing.","Resolved intake exceptions and cleaner lending flow","Borrower and lending team","0.32","0.58","0.70","0.36","0.34","0.46","cluster_client_interaction|cluster_workflow_admin|cluster_documentation|cluster_coordination","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_9041_00","exception_escalation_support","exception_escalation_support","Keep insurance-processing workflow credible by surfacing mismatches, incomplete records, and cases that need higher-judgment review.","Turn queue anomalies and documentation issues into clean escalation pathways.","Remain accountable for exception visibility, record quality, and escalation when routine processing no longer fits the case.","Visible processing exceptions and cleaner escalation flow","Claims operations and adjuster team","0.32","0.60","0.66","0.48","0.34","0.46","cluster_qa_review|cluster_workflow_admin|cluster_coordination|cluster_documentation","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_4171_00","visitor_routing_stewardship","visitor_routing_stewardship","Protect first-contact quality by routing visitors, calls, and incoming requests to the right next step without losing context.","Turn inbound questions and interruptions into orderly handoffs and maintained service tone.","Remain accountable for routing quality, communication tone, and escalation when intake cannot be handled routinely.","Clean first-contact routing and maintained service continuity","Visitor and front-office team","0.34","0.58","0.78","0.24","0.34","0.50","cluster_client_interaction|cluster_coordination|cluster_workflow_admin|cluster_relationship_management","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_1011_00","staffing_cadence_leadership","staffing_cadence_leadership","Keep office-support teams effective by coordinating coverage, workflow cadence, and frontline issue resolution above the task queue.","Turn workload signals and process friction into team-level administrative direction.","Remain accountable for staffing balance, service reliability, and escalation when office-support flow breaks down.","Manager-level staffing cadence and workflow direction","Support staff and leadership","0.34","0.72","0.64","0.30","0.62","0.64","cluster_client_interaction|cluster_coordination|cluster_oversight_strategy|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_43_4031_00","case_window_coordination","case_window_coordination","Keep civic and court-facing requests moving by coordinating front-counter follow-through, documentation, and procedural handoffs.","Turn applications, questions, and window-side issues into completed administrative flow.","Remain accountable for handoff quality, procedural clarity, and escalation when requests stop fitting routine process.","Completed civic request flow and cleaner public handoffs","Applicant, public, and institution","0.34","0.66","0.76","0.62","0.40","0.52","cluster_client_interaction|cluster_coordination|cluster_qa_review|cluster_workflow_admin","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
"occ_17_2071_00","validation_integration","validation_integration","Carry electrical designs into dependable implementation by coordinating testing, integration, and production-readiness follow-through.","Turn design intent, test evidence, and system constraints into working electrical integration decisions.","Remain accountable for validation quality, issue escalation, and integration tradeoffs when build reality pressures the design.","Validated electrical integration and production readiness","Engineering team and operator","0.34","0.80","0.66","0.58","0.56","0.68","cluster_qa_review|cluster_coordination|cluster_documentation|cluster_oversight_strategy","src_role_function_expansion_2026_03","reviewed_secondary_anchor"
