"occupation_id","function_id","function_category","role_summary","function_statement","function_weight","source_mix","source_confidence","notes"
"occ_13_1031_00","fn_occ_13_1031_00_investigation_coordination","investigation_coordination","Keep claims review moving by coordinating interviews, records, legal handoffs, and disputed-claim follow-through.","Turn contested facts, claimant communication, and process deadlines into execution-ready claims workflow.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1031_00","fn_occ_13_1031_00_primary","claims_resolution","Investigate coverage and losses so claims decisions are fair, documented, and defensible.","Turn claim facts, evidence, policy terms, and negotiation into settled, denied, or escalated claim outcomes.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1041_00","fn_occ_13_1041_00_control_enablement","control_enablement","Help operating teams execute within rules by translating controls into workable processes.","Turn laws, policy, and controls into usable workflow guardrails and escalation paths.","0.2424","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1041_00","fn_occ_13_1041_00_primary","control_assurance","Protect the organization by translating rules into workable control and review decisions.","Interpret policies, laws, and controls so operations remain compliant and auditable.","0.7576","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1051_00","fn_occ_13_1051_00_commercial_coordination","commercial_coordination","Carry estimates into approvals and bids by coordinating assumptions, revisions, and stakeholder follow-through around the number.","Turn scope questions, pricing updates, and bid pressure into aligned commercial workflow.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|guardrail_recalibration_2026_03c"
"occ_13_1051_00","fn_occ_13_1051_00_primary","estimate_development","Build defensible cost estimates by translating scope, assumptions, and pricing inputs into credible project numbers.","Turn drawings, specs, supplier signals, labor assumptions, and risk factors into scoped estimate outputs.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1071_00","fn_occ_13_1071_00_people_advisory","people_advisory","Help managers and employees navigate policy, context, and people decisions that cannot be reduced to forms alone.","Turn policy, employee context, and manager needs into workable people guidance and escalations.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1071_00","fn_occ_13_1071_00_primary","people_operations","Keep people processes fair, usable, and context-aware without treating specialist HR work like final people-governance authority.","Turn policy, employee context, and workflow needs into reliable people-process execution and guidance.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1081_00","fn_occ_13_1081_00_logistics_flow_coordination","logistics_flow_coordination","Keep supply, shipment, and deployment work aligned when logistics plans hit real-world friction.","Turn shortages, routing changes, supplier updates, and field constraints into workable logistics flow and escalation decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1081_00","fn_occ_13_1081_00_primary","reliable_execution","Keep workflows compliant, coordinated, and reliable in day-to-day execution.","Sustain reliable operations by coordinating work, resolving exceptions, and keeping execution on track.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_13_1082_00","fn_occ_13_1082_00_primary","orchestration","Keep complex cross-functional work aligned so delivery happens under real deadlines and constraints.","Convert goals, dependencies, risks, and stakeholder input into coordinated execution.","0.7353","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1082_00","fn_occ_13_1082_00_stakeholder_alignment","stakeholder_alignment","Keep delivery aligned by managing expectations, escalation paths, and cross-functional tradeoffs.","Turn conflicting stakeholder needs into workable sequencing, escalation, and delivery decisions.","0.2647","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1111_00","fn_occ_13_1111_00_change_enablement","change_enablement","Move recommendations into real adoption by aligning stakeholders, sequencing change, and resolving operating friction.","Turn analysis, tradeoffs, and stakeholder concerns into executable change and adoption decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1111_00","fn_occ_13_1111_00_primary","problem_solving","Diagnose client problems and redesign processes, governance, or operating models that improve performance.","Turn ambiguous business issues into structured recommendations and implementation paths.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1151_00","fn_occ_13_1151_00_learning_delivery_alignment","learning_delivery_alignment","Keep training releases aligned with product, operations, and stakeholder timing.","Turn review cycles, learner feedback, and release dependencies into coordinated training rollout.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1151_00","fn_occ_13_1151_00_primary","learning_enablement","Translate product, process, and workflow change into training people can actually use in real work.","Turn subject-matter expertise, workflow changes, and learner needs into courseware, practice, and adoption support.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_1161_00","fn_occ_13_1161_00_marketing_ops","marketing_operations","Keep marketing measurement and workflow systems aligned so campaign, funnel, and automation signals turn into usable demand decisions.","Turn attribution, reporting, CRM hygiene, testing loops, and handoffs into coordinated revenue workflow.","0.2806","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_1161_00","fn_occ_13_1161_00_primary","market_sensing","Understand markets and shape go-to-market choices that influence demand.","Turn audience, product, and campaign signals into positioning and demand-generation choices.","0.7194","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_13_2011_00","fn_occ_13_2011_00_audit_assurance","audit_assurance","Test controls, examine records, and surface audit findings that expose financial or compliance risk.","Turn transaction evidence, control testing, and audit procedures into defensible assurance findings and remediation priorities.","0.1976","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|role_shape_variant_review"
"occ_13_2011_00","fn_occ_13_2011_00_finance_advisory","finance_advisory","Translate control, audit, and reporting work into decision-ready financial guidance for the business.","Turn findings, reconciliations, and financial signals into decision support and control-aware recommendations.","0.2036","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_2011_00","fn_occ_13_2011_00_primary","financial_integrity","Produce trustworthy financial reporting and judgment around controls, risk, and compliance.","Turn financial activity into accurate records, defensible reporting, and controlled decision support.","0.5988","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_2051_00","fn_occ_13_2051_00_primary","financial_analysis","Turn market, company, and performance signals into decision-ready analysis rather than treating the role like a control-signoff function.","Translate financial statements, forecasts, and scenarios into interpretable views of risk, performance, and options.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_2051_00","fn_occ_13_2051_00_stakeholder_translation","stakeholder_translation","Translate financial analysis into recommendations, tradeoffs, and planning decisions that leaders can act on.","Turn forecasts, scenarios, and performance signals into stakeholder-ready recommendations and financial tradeoffs.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_2052_00","fn_occ_13_2052_00_primary","financial_advice","Help clients make financial decisions by translating goals, constraints, and market choices into actionable plans.","Turn client context, risk tolerance, product options, and market information into tailored financial advice and account decisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_2052_00","fn_occ_13_2052_00_relationship_book_stewardship","relationship_book_stewardship","Protect long-term client trust by managing follow-through, communication cadence, and advice continuity after an initial recommendation.","Turn ongoing client context and account change into retained trust and next-step advisory flow.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_13_2072_00","fn_occ_13_2072_00_primary","credit_origination","Match borrowers to workable loan options by evaluating risk, documentation, and client goals.","Turn borrower context, credit information, documentation, and product fit into structured lending decisions and applications.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_13_2072_00","fn_occ_13_2072_00_relationship_portfolio_guidance","relationship_portfolio_guidance","Preserve borrower trust and portfolio fit by guiding applicants through options, follow-up, and next-step coordination.","Turn borrower communication, document gaps, and product fit questions into maintained lending momentum.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_1211_00","fn_occ_15_1211_00_primary","systems_analysis","Translate business workflow and system needs into workable requirements, configuration choices, and rollout decisions.","Turn business context, process friction, and technology constraints into adoptable system design and implementation guidance.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1211_00","fn_occ_15_1211_00_requirements_translation","requirements_translation","Turn stakeholder needs and process realities into workable system requirements, tradeoffs, and rollout choices.","Translate business context, process constraints, and stakeholder priorities into system decisions people can actually adopt.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_1212_00","fn_occ_15_1212_00_incident_readiness","incident_readiness","Prepare the organization to respond to security events by coordinating alerts, evidence handling, and defensive workflow readiness.","Turn detection signals, control gaps, and response procedures into faster, more defensible security action.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_1212_00","fn_occ_15_1212_00_primary","security_assurance","Protect systems and data by identifying threats, hardening controls, and escalating material security risk.","Turn telemetry, vulnerabilities, incidents, and control requirements into prioritized defensive action and security decisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1232_00","fn_occ_15_1232_00_primary","support_enablement","Help users stay productive by resolving technical issues and turning tool friction into workable support.","Turn incidents, user confusion, setup work, and training needs into restored access and usable systems.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1232_00","fn_occ_15_1232_00_workflow_adoption_enablement","workflow_adoption_enablement","Help users adopt tools and workflows by turning technical fixes into repeatable support guidance, training, and handoffs.","Translate recurring issues, setup work, and documentation needs into smoother day-to-day tool use.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|guardrail_recalibration_2026_03b"
"occ_15_1241_00","fn_occ_15_1241_00_implementation_governance","implementation_governance","Carry architecture into reality by coordinating implementation choices, standards adoption, and exceptions across network changes.","Turn design intent, platform constraints, and rollout friction into workable infrastructure execution.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_1241_00","fn_occ_15_1241_00_primary","network_architecture","Design network infrastructure that can scale, interoperate, and remain reliable under real operating constraints.","Turn performance requirements, security needs, topology tradeoffs, and growth plans into network design decisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1244_00","fn_occ_15_1244_00_incident_response_coordination","incident_response_coordination","Keep infrastructure problems contained by coordinating incidents, handoffs, and service restoration around active systems.","Turn alerts, outages, maintenance events, and user impact into sequenced response and recovery work.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor|guardrail_recalibration_2026_03b"
"occ_15_1244_00","fn_occ_15_1244_00_primary","infrastructure_stewardship","Keep networks and systems available, secure, and maintainable in day-to-day operation.","Turn infrastructure requirements, incidents, maintenance work, and monitoring signals into reliable system operations.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1252_00","fn_occ_15_1252_00_primary","software_delivery","Design, build, and maintain software that solves user and business problems.","Translate product and system needs into working software and maintainable technical decisions.","0.7576","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1252_00","fn_occ_15_1252_00_system_reliability","system_reliability","Keep software dependable by reviewing, integrating, documenting, and safeguarding technical decisions.","Turn code changes and system complexity into reliable, maintainable software operation.","0.2424","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_1253_00","fn_occ_15_1253_00_primary","release_assurance","Protect software quality by designing tests, finding defects, and judging release readiness.","Turn requirements, builds, defects, and test evidence into trustworthy quality signals and release decisions.","0.7576","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_15_1253_00","fn_occ_15_1253_00_test_automation_enablement","test_automation_enablement","Scale product-quality work by building reusable testing tools, procedures, and release controls around the core QA flow.","Turn repetitive checks, tooling opportunities, and quality standards into repeatable testing infrastructure.","0.2424","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_2031_00","fn_occ_15_2031_00_decision_translation","decision_translation","Translate quantitative models into recommendations, tradeoffs, and operating choices people can actually use.","Turn optimization outputs, scenarios, and uncertainty into stakeholder-ready decisions and workflow changes.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_15_2031_00","fn_occ_15_2031_00_primary","decision_intelligence","Turn data into analysis, models, and recommendations that improve decisions.","Transform messy data into interpretable signals, models, and decision support.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_17_2051_00","fn_occ_17_2051_00_primary","system_design","Design and review technical systems that must work safely and reliably.","Translate requirements into technical systems, designs, and review decisions that hold up in practice.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_17_2051_00","fn_occ_17_2051_00_project_delivery_integration","project_delivery_integration","Carry civil designs into workable project execution by coordinating field realities, review cycles, and delivery constraints.","Turn drawings, compliance requirements, and construction feedback into integrated engineering follow-through.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_17_2071_00","fn_occ_17_2071_00_primary","system_design","Design and review technical systems that must work safely and reliably.","Translate requirements into technical systems, designs, and review decisions that hold up in practice.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_17_2071_00","fn_occ_17_2071_00_validation_integration","validation_integration","Carry electrical designs into dependable implementation by coordinating testing, integration, and production-readiness follow-through.","Turn design intent, test evidence, and system constraints into working electrical integration decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_17_2072_00","fn_occ_17_2072_00_electronics_validation_integration","electronics_validation_integration","Carry electronic designs into buildable reality by linking verification, manufacturing feedback, and integration constraints.","Turn lab results, component tradeoffs, and production feedback into validated electronics decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_17_2072_00","fn_occ_17_2072_00_primary","system_design","Design and review technical systems that must work safely and reliably.","Translate requirements into technical systems, designs, and review decisions that hold up in practice.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_17_2112_00","fn_occ_17_2112_00_change_implementation","change_implementation","Move process-design ideas into real operating change by coordinating trials, workflow changes, and adoption follow-through.","Turn optimization findings, quality checks, and operating friction into implemented process improvement.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_17_2112_00","fn_occ_17_2112_00_primary","system_design","Design and review technical systems that must work safely and reliably.","Translate requirements into technical systems, designs, and review decisions that hold up in practice.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_17_2141_00","fn_occ_17_2141_00_primary","engineering_design","Design practical mechanical solutions while carrying engineering judgment without overstating formal sign-off ownership.","Turn requirements, constraints, and test feedback into workable mechanical designs and design revisions.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_17_2141_00","fn_occ_17_2141_00_validation_integration","validation_integration","Validate designs and integrate them across testing, manufacturing, and system constraints.","Turn test results, interface requirements, and change control into release-ready engineering decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_23_1011_00","fn_occ_23_1011_00_matter_preparation","matter_preparation","Prepare cases and legal matters so accountable advice and advocacy can stand up under scrutiny.","Turn facts, precedent, drafts, and review work into matter-ready legal materials.","0.2754","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_23_1011_00","fn_occ_23_1011_00_primary","advice_advocacy","Interpret, apply, and uphold the law while advising and advocating for clients in legal matters.","Convert legal facts, rules, and strategy into accountable advice, negotiation, and representation.","0.7246","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_23_2011_00","fn_occ_23_2011_00_matter_coordination","matter_coordination","Keep legal matters execution-ready by coordinating filings, packets, records, and attorney handoffs.","Turn deadlines, documents, and procedural requirements into matter-ready legal operations flow.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_23_2011_00","fn_occ_23_2011_00_primary","legal_support","Support legal matters by organizing records, drafting under supervision, and keeping procedure on track.","Turn case facts, records, deadlines, and draft materials into matter-ready legal support work.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_27_1024_00","fn_occ_27_1024_00_brand_system_stewardship","brand_system_stewardship","Keep creative work coherent across stakeholders, channels, and release constraints.","Turn briefs, feedback, and handoff constraints into review-ready creative systems and release decisions.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_1024_00","fn_occ_27_1024_00_primary","creative_production","Create assets and messages that shape audience attention and response.","Produce creative work that expresses ideas clearly and serves a communication or commercial goal.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_27_3023_00","fn_occ_27_3023_00_broadcast_orchestration","broadcast_orchestration","Shape live or produced news output so reporting becomes coherent programming under deadline.","Turn segment selection, producer coordination, presentation flow, and package timing into broadcast-ready output.","0.2024","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3023_00","fn_occ_27_3023_00_primary","public_information","Report accurate, timely information that people can trust under real-world uncertainty.","Turn reporting, verification, and synthesis into credible public information.","0.5952","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_27_3023_00","fn_occ_27_3023_00_source_development","source_development","Build access, trust, and verification pathways that sustain credible reporting.","Turn relationships, sourcing, and on-the-ground verification into reportable information.","0.2024","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3031_00","fn_occ_27_3031_00_primary","stakeholder_messaging","Shape stakeholder understanding and keep messaging aligned with organizational goals.","Translate organizational priorities into clear external and internal communications.","0.7246","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_27_3031_00","fn_occ_27_3031_00_relationship_protection","relationship_protection","Preserve trust with media, partners, and stakeholders while the organization communicates and responds.","Turn stakeholder concerns and message risk into coordinated relationship management.","0.2754","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3041_00","fn_occ_27_3041_00_primary","editorial_judgment","Improve content quality by deciding what should be clear, accurate, coherent, and publishable.","Turn draft material into publishable content through revision, quality control, and editorial judgment.","0.7353","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_27_3041_00","fn_occ_27_3041_00_publication_orchestration","publication_orchestration","Coordinate the publication process so editorial decisions become publishable output on time.","Turn drafts, review cycles, contributors, and release timing into coherent publication workflow.","0.2647","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3042_00","fn_occ_27_3042_00_primary","information_translation","Turn product or system complexity into documentation people can actually use.","Translate technical complexity into accurate, maintainable, user-ready documentation.","0.7463","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","occupation_override_promoted"
"occ_27_3042_00","fn_occ_27_3042_00_release_enablement","release_enablement","Prepare documentation programs for release by coordinating inputs, review, and readiness across teams.","Turn source material, subject-matter review, and release constraints into documentation that ships cleanly.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3043_00","fn_occ_27_3043_00_content_system_stewardship","content_system_stewardship","Keep written work coherent across channels, collaborators, and publishing contexts rather than treating each asset as a one-off draft.","Turn review cycles, style systems, stakeholder needs, and audience signals into publishable content direction.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
"occ_27_3043_00","fn_occ_27_3043_00_primary","creative_production","Create assets and messages that shape audience attention and response.","Produce creative work that expresses ideas clearly and serves a communication or commercial goal.","0.7463","src_role_function_seed_2026_03","0.7400","role_family_default_promoted"
"occ_41_3011_00","fn_occ_41_3011_00_campaign_account_stewardship","campaign_account_stewardship","Protect account momentum by coordinating approvals, proposal flow, and commercial follow-through after the first pitch lands.","Turn client questions, internal handoffs, proof cycles, and deal friction into maintained revenue momentum.","0.2537","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_secondary_anchor"
