"occupation_id","title","role_transformation_type","function_anchor_count","primary_driver","secondary_driver","primary_counterweight","evidence_profile","confidence_band","review_priority","explanation_summary"
"occ_13_1071_00","Human Resources Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 35% | reviewed 12% | benchmark 41% | proxy 12%","high","low","Human Resources Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: people_operations (75%); people_advisory (25%). Evidence mix: direct 35% | reviewed 12% | benchmark 41% | proxy 12%."
"occ_13_1081_00","Logisticians","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 19% | reviewed 17% | benchmark 50% | proxy 14%","medium","low","Logisticians currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: reliable_execution (75%); logistics_flow_coordination (25%). Evidence mix: direct 19% | reviewed 17% | benchmark 50% | proxy 14%."
"occ_13_1082_00","Project Management Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 11% | reviewed 20% | benchmark 52% | proxy 17%","medium","low","Project Management Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: orchestration (74%); stakeholder_alignment (26%). Evidence mix: direct 11% | reviewed 20% | benchmark 52% | proxy 17%."
"occ_13_1111_00","Management Analysts","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 16% | reviewed 32% | benchmark 31% | proxy 21%","high","low","Management Analysts currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: problem_solving (75%); change_enablement (25%). Evidence mix: direct 16% | reviewed 32% | benchmark 31% | proxy 21%."
"occ_13_1151_00","Training and Development Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 17% | reviewed 18% | benchmark 48% | proxy 16%","high","low","Training and Development Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: learning_enablement (75%); learning_delivery_alignment (25%). Evidence mix: direct 17% | reviewed 18% | benchmark 48% | proxy 16%."
"occ_13_1161_00","Market Research Analysts and Marketing Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 27% | benchmark 31% | proxy 11%","high","low","Market Research Analysts and Marketing Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: market_sensing (72%); marketing_operations (28%). Evidence mix: direct 30% | reviewed 27% | benchmark 31% | proxy 11%."
"occ_13_1199_00","Business Operations Specialists, All Other","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 0% | reviewed 44% | benchmark 47% | proxy 9%","medium","low","Business Operations Specialists, All Other currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: problem_solving (75%); operational_followthrough (25%). Evidence mix: direct 0% | reviewed 44% | benchmark 47% | proxy 9%."
"occ_13_2011_00","Accountants and Auditors","workflow_recomposition","3","direct task pressure","core-function pressure","bargaining leverage","direct 20% | reviewed 14% | benchmark 52% | proxy 15%","high","low","Accountants and Auditors currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: financial_integrity (60%); finance_advisory (20%). Evidence mix: direct 20% | reviewed 14% | benchmark 52% | proxy 15%."
"occ_13_2051_00","Financial and Investment Analysts","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 34% | reviewed 12% | benchmark 42% | proxy 12%","high","low","Financial and Investment Analysts currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: financial_analysis (75%); stakeholder_translation (25%). Evidence mix: direct 34% | reviewed 12% | benchmark 42% | proxy 12%."
"occ_13_2052_00","Personal Financial Advisors","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 15% | benchmark 42% | proxy 13%","high","low","Personal Financial Advisors currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: financial_advice (75%); relationship_book_stewardship (25%). Evidence mix: direct 30% | reviewed 15% | benchmark 42% | proxy 13%."
"occ_13_2072_00","Loan Officers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 31% | reviewed 11% | benchmark 45% | proxy 12%","high","low","Loan Officers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: credit_origination (75%); relationship_portfolio_guidance (25%). Evidence mix: direct 31% | reviewed 11% | benchmark 45% | proxy 12%."
"occ_15_1211_00","Computer Systems Analysts","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 33% | reviewed 14% | benchmark 40% | proxy 13%","high","low","Computer Systems Analysts currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: systems_analysis (75%); requirements_translation (25%). Evidence mix: direct 33% | reviewed 14% | benchmark 40% | proxy 13%."
"occ_15_1212_00","Information Security Analysts","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 24% | reviewed 39% | benchmark 24% | proxy 13%","high","low","Information Security Analysts currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: security_assurance (75%); incident_readiness (25%). Evidence mix: direct 24% | reviewed 39% | benchmark 24% | proxy 13%."
"occ_15_1232_00","Computer User Support Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 29% | reviewed 24% | benchmark 34% | proxy 14%","high","low","Computer User Support Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: support_enablement (75%); workflow_adoption_enablement (25%). Evidence mix: direct 29% | reviewed 24% | benchmark 34% | proxy 14%."
"occ_15_1241_00","Computer Network Architects","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 35% | reviewed 10% | benchmark 42% | proxy 13%","high","low","Computer Network Architects currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: network_architecture (75%); implementation_governance (25%). Evidence mix: direct 35% | reviewed 10% | benchmark 42% | proxy 13%."
"occ_15_1244_00","Network and Computer Systems Administrators","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 33% | reviewed 15% | benchmark 39% | proxy 13%","high","low","Network and Computer Systems Administrators currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: infrastructure_stewardship (75%); incident_response_coordination (25%). Evidence mix: direct 33% | reviewed 15% | benchmark 39% | proxy 13%."
"occ_15_1252_00","Software Developers","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 17% | reviewed 25% | benchmark 41% | proxy 16%","high","low","Software Developers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: software_delivery (76%); system_reliability (24%). Evidence mix: direct 17% | reviewed 25% | benchmark 41% | proxy 16%."
"occ_15_1253_00","Software Quality Assurance Analysts and Testers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 26% | reviewed 12% | benchmark 47% | proxy 15%","high","low","Software Quality Assurance Analysts and Testers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: release_assurance (76%); test_automation_enablement (24%). Evidence mix: direct 26% | reviewed 12% | benchmark 47% | proxy 15%."
"occ_15_2031_00","Operations Research Analysts","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 25% | reviewed 23% | benchmark 36% | proxy 16%","high","low","Operations Research Analysts currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: decision_intelligence (75%); decision_translation (25%). Evidence mix: direct 25% | reviewed 23% | benchmark 36% | proxy 16%."
"occ_15_2051_00","Data Scientists","augmented_core_role","2","demand expansion","direct task pressure","demand expansion","direct 0% | reviewed 34% | benchmark 48% | proxy 18%","high","low","Data Scientists currently reads as augmented core role because demand expansion and direct task pressure are the strongest pressure signals, while demand expansion is the main counterweight. Function mix: decision_intelligence (75%); stakeholder_translation (25%). Evidence mix: direct 0% | reviewed 34% | benchmark 48% | proxy 18%."
"occ_17_2051_00","Civil Engineers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 8% | reviewed 33% | benchmark 46% | proxy 13%","medium","low","Civil Engineers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: system_design (75%); project_delivery_integration (25%). Evidence mix: direct 8% | reviewed 33% | benchmark 46% | proxy 13%."
"occ_17_2071_00","Electrical Engineers","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 19% | reviewed 17% | benchmark 47% | proxy 17%","medium","low","Electrical Engineers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: system_design (75%); validation_integration (25%). Evidence mix: direct 19% | reviewed 17% | benchmark 47% | proxy 17%."
"occ_17_2072_00","Electronics Engineers, Except Computer","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 22% | reviewed 17% | benchmark 46% | proxy 14%","high","low","Electronics Engineers, Except Computer currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: system_design (75%); electronics_validation_integration (25%). Evidence mix: direct 22% | reviewed 17% | benchmark 46% | proxy 14%."
"occ_17_2112_00","Industrial Engineers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 11% | reviewed 20% | benchmark 53% | proxy 16%","medium","low","Industrial Engineers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: system_design (75%); change_implementation (25%). Evidence mix: direct 11% | reviewed 20% | benchmark 53% | proxy 16%."
"occ_17_2141_00","Mechanical Engineers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 12% | reviewed 16% | benchmark 58% | proxy 15%","high","low","Mechanical Engineers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: engineering_design (75%); validation_integration (25%). Evidence mix: direct 12% | reviewed 16% | benchmark 58% | proxy 15%."
"occ_23_1011_00","Lawyers","limited_near_term_change","2","direct task pressure","core-function pressure","human accountability","direct 22% | reviewed 17% | benchmark 46% | proxy 15%","medium","low","Lawyers currently reads as limited near-term change because direct task pressure and core-function pressure are the strongest pressure signals, while human accountability is the main counterweight. Function mix: advice_advocacy (72%); matter_preparation (28%). Evidence mix: direct 22% | reviewed 17% | benchmark 46% | proxy 15%."
"occ_23_2011_00","Paralegals and Legal Assistants","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 9% | reviewed 40% | benchmark 35% | proxy 16%","medium","low","Paralegals and Legal Assistants currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: legal_support (75%); matter_coordination (25%). Evidence mix: direct 9% | reviewed 40% | benchmark 35% | proxy 16%."
"occ_27_1024_00","Graphic Designers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 29% | reviewed 17% | benchmark 37% | proxy 18%","high","low","Graphic Designers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: creative_production (75%); brand_system_stewardship (25%). Evidence mix: direct 29% | reviewed 17% | benchmark 37% | proxy 18%."
"occ_27_3023_00","News Analysts, Reporters, and Journalists","workflow_recomposition","3","direct task pressure","core-function pressure","bargaining leverage","direct 31% | reviewed 11% | benchmark 44% | proxy 14%","high","low","News Analysts, Reporters, and Journalists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: public_information (60%); broadcast_orchestration (20%). Evidence mix: direct 31% | reviewed 11% | benchmark 44% | proxy 14%."
"occ_27_3031_00","Public Relations Specialists","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 21% | benchmark 36% | proxy 13%","high","low","Public Relations Specialists currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: stakeholder_messaging (72%); relationship_protection (28%). Evidence mix: direct 30% | reviewed 21% | benchmark 36% | proxy 13%."
"occ_27_3041_00","Editors","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 15% | benchmark 41% | proxy 14%","high","low","Editors currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: editorial_judgment (74%); publication_orchestration (26%). Evidence mix: direct 30% | reviewed 15% | benchmark 41% | proxy 14%."
"occ_27_3042_00","Technical Writers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 24% | reviewed 28% | benchmark 32% | proxy 16%","high","low","Technical Writers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: information_translation (75%); release_enablement (25%). Evidence mix: direct 24% | reviewed 28% | benchmark 32% | proxy 16%."
"occ_27_3043_00","Writers and Authors","workflow_recomposition","2","direct task pressure","core-function pressure","demand expansion","direct 29% | reviewed 16% | benchmark 41% | proxy 14%","high","low","Writers and Authors currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while demand expansion is the main counterweight. Function mix: creative_production (75%); content_system_stewardship (25%). Evidence mix: direct 29% | reviewed 16% | benchmark 41% | proxy 14%."
"occ_41_3011_00","Advertising Sales Agents","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 33% | reviewed 15% | benchmark 40% | proxy 12%","medium","low","Advertising Sales Agents currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_creation (75%); campaign_account_stewardship (25%). Evidence mix: direct 33% | reviewed 15% | benchmark 40% | proxy 12%."
"occ_41_3021_00","Insurance Sales Agents","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 30% | reviewed 16% | benchmark 41% | proxy 12%","medium","low","Insurance Sales Agents currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_creation (75%); policy_service_stewardship (25%). Evidence mix: direct 30% | reviewed 16% | benchmark 41% | proxy 12%."
"occ_41_3031_00","Securities, Commodities, and Financial Services Sales Agents","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 35% | reviewed 10% | benchmark 42% | proxy 13%","medium","low","Securities, Commodities, and Financial Services Sales Agents currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_creation (75%); book_stewardship (25%). Evidence mix: direct 35% | reviewed 10% | benchmark 42% | proxy 13%."
"occ_41_3091_00","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 8% | reviewed 36% | benchmark 41% | proxy 14%","high","low","Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_creation (72%); account_stewardship (28%). Evidence mix: direct 8% | reviewed 36% | benchmark 41% | proxy 14%."
"occ_41_4011_00","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 32% | reviewed 10% | benchmark 45% | proxy 12%","medium","low","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: technical_solution_sales (75%); solution_translation (25%). Evidence mix: direct 32% | reviewed 10% | benchmark 45% | proxy 12%."
"occ_43_1011_00","First-Line Supervisors of Office and Administrative Support Workers","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 34% | reviewed 11% | benchmark 43% | proxy 12%","medium","low","First-Line Supervisors of Office and Administrative Support Workers currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: admin_team_orchestration (75%); staffing_cadence_leadership (25%). Evidence mix: direct 34% | reviewed 11% | benchmark 43% | proxy 12%."
"occ_43_3021_00","Billing and Posting Clerks","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 22% | reviewed 13% | benchmark 50% | proxy 15%","high","low","Billing and Posting Clerks currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: revenue_cycle_execution (76%); exception_reconciliation (24%). Evidence mix: direct 22% | reviewed 13% | benchmark 50% | proxy 15%."
"occ_43_3031_00","Bookkeeping, Accounting, and Auditing Clerks","workflow_recomposition","2","direct task pressure","headcount displacement risk","retained function","direct 29% | reviewed 12% | benchmark 45% | proxy 14%","high","low","Bookkeeping, Accounting, and Auditing Clerks currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while retained function is the main counterweight. Function mix: financial_integrity (71%); transaction_processing (29%). Evidence mix: direct 29% | reviewed 12% | benchmark 45% | proxy 14%."
"occ_43_4031_00","Court, Municipal, and License Clerks","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 29% | reviewed 11% | benchmark 45% | proxy 14%","high","low","Court, Municipal, and License Clerks currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: public_record_administration (75%); case_window_coordination (25%). Evidence mix: direct 29% | reviewed 11% | benchmark 45% | proxy 14%."
"occ_43_4051_00","Customer Service Representatives","workflow_recomposition","2","direct task pressure","core-function pressure","retained function","direct 28% | reviewed 26% | benchmark 33% | proxy 14%","high","low","Customer Service Representatives currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while retained function is the main counterweight. Function mix: service_resolution (75%); case_queue_execution (25%). Evidence mix: direct 28% | reviewed 26% | benchmark 33% | proxy 14%."
"occ_43_4131_00","Loan Interviewers and Clerks","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 16% | reviewed 25% | benchmark 43% | proxy 17%","high","low","Loan Interviewers and Clerks currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: lending_intake_execution (72%); intake_exception_coordination (28%). Evidence mix: direct 16% | reviewed 25% | benchmark 43% | proxy 17%."
"occ_43_4171_00","Receptionists and Information Clerks","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 31% | reviewed 21% | benchmark 36% | proxy 12%","high","low","Receptionists and Information Clerks currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: workflow_execution (71%); visitor_routing_stewardship (29%). Evidence mix: direct 31% | reviewed 21% | benchmark 36% | proxy 12%."
"occ_43_6011_00","Executive Secretaries and Executive Administrative Assistants","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 26% | reviewed 16% | benchmark 46% | proxy 13%","high","low","Executive Secretaries and Executive Administrative Assistants currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: workflow_execution (78%); executive_coordination (22%). Evidence mix: direct 26% | reviewed 16% | benchmark 46% | proxy 13%."
"occ_43_6014_00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","workflow_recomposition","2","direct task pressure","headcount displacement risk","retained function","direct 26% | reviewed 12% | benchmark 48% | proxy 14%","high","low","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while retained function is the main counterweight. Function mix: workflow_execution (72%); admin_coordination (28%). Evidence mix: direct 26% | reviewed 12% | benchmark 48% | proxy 14%."
"occ_43_9041_00","Insurance Claims and Policy Processing Clerks","workflow_recomposition","2","direct task pressure","core-function pressure","bargaining leverage","direct 26% | reviewed 14% | benchmark 47% | proxy 14%","high","low","Insurance Claims and Policy Processing Clerks currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while bargaining leverage is the main counterweight. Function mix: reliable_execution (72%); exception_escalation_support (28%). Evidence mix: direct 26% | reviewed 14% | benchmark 47% | proxy 14%."
"occ_43_9061_00","Office Clerks, General","workflow_recomposition","2","direct task pressure","headcount displacement risk","retained function","direct 29% | reviewed 16% | benchmark 41% | proxy 14%","medium","low","Office Clerks, General currently reads as workflow recomposition because direct task pressure and headcount displacement risk are the strongest pressure signals, while retained function is the main counterweight. Function mix: workflow_execution (71%); office_flow_coordination (29%). Evidence mix: direct 29% | reviewed 16% | benchmark 41% | proxy 14%."
"occ_43_9111_00","Statistical Assistants","workflow_recomposition","2","direct task pressure","core-function pressure","demand expansion","direct 27% | reviewed 25% | benchmark 34% | proxy 13%","high","low","Statistical Assistants currently reads as workflow recomposition because direct task pressure and core-function pressure are the strongest pressure signals, while demand expansion is the main counterweight. Function mix: decision_intelligence (75%); data_preparation_execution (25%). Evidence mix: direct 27% | reviewed 25% | benchmark 34% | proxy 13%."
