"occupation_id","task_id","onet_task_id","task_statement","task_family_id","task_type","time_share_prior","value_centrality","bargaining_power_weight","role_criticality","ai_support_observability","source_mix","source_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_20708","20708","Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.","cluster_oversight_strategy","Supplemental","0.0578","0.8540","0.9261","core","0.5160","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5215","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_933","933","Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.","cluster_coordination","Core","0.0715","0.9236","0.9005","core","0.5540","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5855","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_944","944","Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.","cluster_client_interaction","Supplemental","0.0660","0.7364","0.8439","core","0.1525","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5175","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_945","945","Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.","cluster_drafting","Supplemental","0.0117","0.3668","0.4495","optional","0.0055","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3405","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_947","947","Direct non-merchandising departments of businesses, such as advertising or purchasing.","cluster_oversight_strategy","Supplemental","0.0202","0.6966","0.8348","core","0.5160","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5215","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_948","948","Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.","cluster_decision_support","Supplemental","0.0083","0.4810","0.6718","supporting","0.5740","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5850","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_949","949","Plan store layouts or design displays.","cluster_drafting","Supplemental","0.0088","0.2676","0.3920","optional","0.0055","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3360","seeded_from_onet_task_inventory"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_01","jd_gm_01","Own cross-functional operating programs from problem definition through execution, with milestones, operating cadences, and escalation paths.","cluster_coordination","Core","0.0466","0.8876","0.8796","core","0.5540","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7835","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_02","jd_gm_02","Define success metrics, risks, and process or tooling improvements that let operations scale without losing quality.","cluster_oversight_strategy","Core","0.0411","0.9800","0.9900","core","0.5160","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7730","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_03","jd_gm_03","Manage budget-linked operational workflows such as billing, collections, reconciliations, and handoffs between operations and finance.","cluster_workflow_admin","Core","0.0429","0.6496","0.3694","supporting","0.2715","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.8325","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm_04","jd_gm_04","Drive policy updates, vendor management, and change adoption so day-to-day operations remain reliable and employee-facing services improve over time.","cluster_decision_support","Core","0.0372","0.9068","0.9187","core","0.5740","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7870","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_01","jd_gm2_01","Investigate root causes behind recurring operating problems and synthesize cross-team findings before redesigning the workflow.","cluster_research_synthesis","Core","0.0415","0.7964","0.7383","core","0.5770","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7590","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_02","jd_gm2_02","Document SOPs, service standards, and operating guidance so scaled operations remain consistent across teams and vendors.","cluster_documentation","Core","0.0401","0.6632","0.5107","supporting","0.5580","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7590","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_03","jd_gm2_03","Monitor execution quality, review exceptions, and audit whether process changes are improving service rather than only shifting workload.","cluster_qa_review","Core","0.0376","0.7576","0.7352","core","0.0075","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.5910","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_jd_gm2_04","jd_gm2_04","Handle stakeholder-facing operational escalations when employee experience, vendor service, or delivery failures need fast resolution.","cluster_client_interaction","Core","0.0359","0.8236","0.8945","core","0.1525","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7555","seeded_from_job_description_expansion"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_01","manual_gm_01","Resolve cross-functional operating bottlenecks when service, labor, inventory, and customer commitments no longer fit the same plan.","cluster_coordination","Core","0.0440","0.8720","0.8706","core","0.5540","src_manual_role_graph_review_2026_03","0.7835","seeded_from_manual_task_expansion"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_02","manual_gm_02","Set resource, staffing, and process priorities across competing operational goals rather than only monitoring activity.","cluster_decision_support","Core","0.0423","0.9334","0.9342","core","0.5740","src_manual_role_graph_review_2026_03","0.7870","seeded_from_manual_task_expansion"
"occ_11_1021_00","task_occ_11_1021_00_manual_gm_03","manual_gm_03","Translate performance failures into operating-rule changes, accountability shifts, or manager interventions across the business.","cluster_oversight_strategy","Core","0.0379","0.9800","0.9900","core","0.5160","src_manual_role_graph_review_2026_03","0.7730","seeded_from_manual_task_expansion"
"occ_11_2021_00","task_occ_11_2021_00_19502","19502","Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.","cluster_research_synthesis","Supplemental","0.0146","0.4220","0.4706","supporting","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5230","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_19503","19503","Develop business cases for environmental marketing strategies.","cluster_drafting","Supplemental","0.0102","0.2304","0.3694","optional","0.0155","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3440","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_19504","19504","Integrate environmental information into product or company marketing strategies, policies, or activities.","cluster_research_synthesis","Supplemental","0.0098","0.2980","0.3986","optional","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5230","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_19505","19505","Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.","cluster_execution_routine","Supplemental","0.0129","0.1986","0.2262","optional","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4640","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_20709","20709","Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.","cluster_oversight_strategy","Core","0.0988","0.9800","0.9900","core","0.0100","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4200","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_950","950","Develop pricing strategies, balancing firm objectives and customer satisfaction.","cluster_client_interaction","Core","0.0176","0.7464","0.8445","core","0.1535","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5750","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_951","951","Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.","cluster_drafting","Core","0.0870","0.7876","0.6926","core","0.0155","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3840","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_952","952","Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.","cluster_research_synthesis","Core","0.0183","0.6850","0.6231","supporting","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6170","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_954","954","Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.","cluster_oversight_strategy","Core","0.0752","0.9800","0.9900","core","0.0100","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4335","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_955","955","Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.","cluster_drafting","Core","0.0154","0.5306","0.5435","supporting","0.0155","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3840","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_956","956","Consult with product development personnel on product specifications, such as design, color, or packaging.","cluster_drafting","Core","0.0161","0.5492","0.5543","supporting","0.0155","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4290","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_957","957","Compile lists describing product or service offerings.","cluster_research_synthesis","Core","0.0166","0.6416","0.5979","supporting","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5945","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_958","958","Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.","cluster_decision_support","Core","0.0156","0.7368","0.8163","core","0.1860","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6130","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_959","959","Select products or accessories to be displayed at trade or special production shows.","cluster_research_synthesis","Supplemental","0.0105","0.3166","0.4094","optional","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5230","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_960","960","Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.","cluster_relationship_management","Core","0.0132","0.6748","0.8356","core","0.1020","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5285","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_961","961","Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.","cluster_coordination","Core","0.0146","0.6520","0.7424","core","0.0995","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5365","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_962","962","Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.","cluster_client_interaction","Supplemental","0.0127","0.4524","0.6740","supporting","0.1535","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4990","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_963","963","Initiate market research studies, or analyze their findings.","cluster_research_synthesis","Core","0.0146","0.5936","0.5701","supporting","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6170","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_964","964","Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.","cluster_research_synthesis","Supplemental","0.0146","0.4220","0.4706","supporting","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5230","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_965","965","Conduct economic or commercial surveys to identify potential markets for products or services.","cluster_research_synthesis","Supplemental","0.0132","0.3848","0.4490","optional","0.2270","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5230","seeded_from_onet_task_inventory"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_01","jd_mmgr_01","Set growth or go-to-market direction by choosing campaign priorities, channel mixes, and funnel bets that align marketing with revenue goals.","cluster_oversight_strategy","Core","0.0560","0.9800","0.9900","core","0.0100","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.5910","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_02","jd_mmgr_02","Plan and run multi-channel lifecycle campaigns, webinars, events, and follow-up programs with sales and success partners.","cluster_coordination","Core","0.0585","0.8720","0.8700","core","0.0995","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7345","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_03","jd_mmgr_03","Track funnel performance, run experiments, and analyze conversion data to improve campaign efficiency and lead quality.","cluster_analysis","Core","0.0620","0.8476","0.7268","core","0.6430","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7870","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr_04","jd_mmgr_04","Develop marketing collateral, messaging, and field-ready content that keeps brand programs and promotions consistent across channels.","cluster_drafting","Core","0.0571","0.7196","0.6532","core","0.0155","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.5910","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_01","jd_mmgr2_01","Interview sales, success, and customer-facing teams so campaigns reflect actual objections, lifecycle friction, and handoff needs.","cluster_client_interaction","Core","0.0647","0.8464","0.9025","core","0.1535","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7730","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_02","jd_mmgr2_02","Review creative, launch assets, and campaign setup before release so targeting, brand standards, and offer details stay aligned.","cluster_qa_review","Core","0.0668","0.7772","0.6764","core","0.6430","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7555","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_03","jd_mmgr2_03","Maintain campaign calendars, briefs, budget trackers, and reporting handoffs so marketing execution stays coherent across channels.","cluster_workflow_admin","Core","0.0667","0.6564","0.4409","supporting","0.3695","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.8220","seeded_from_job_description_expansion"
"occ_11_2021_00","task_occ_11_2021_00_jd_mmgr2_04","jd_mmgr2_04","Recommend spend, channel, and messaging shifts when funnel results, revenue targets, and partner constraints no longer point to the same plan.","cluster_decision_support","Core","0.0666","0.8988","0.9103","core","0.1860","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7975","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_1","1","Resolve customer complaints regarding sales and service.","cluster_client_interaction","Core","0.0911","0.9800","0.9150","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6170","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_10","10","Represent company at trade association meetings to promote products.","cluster_client_interaction","Core","0.0126","0.6596","0.7292","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5900","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_11","11","Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.","cluster_drafting","Core","0.0173","0.6360","0.5599","supporting","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4995","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_12","12","Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.","cluster_relationship_management","Core","0.0134","0.7244","0.8730","core","0.4080","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5350","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_13","13","Confer with potential customers regarding equipment needs, and advise customers on types of equipment to purchase.","cluster_client_interaction","Core","0.0667","0.9238","0.8824","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6395","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_14","14","Oversee regional and local sales managers and their staffs.","cluster_oversight_strategy","Core","0.0986","0.9800","0.9594","core","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5490","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_15","15","Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.","cluster_documentation","Core","0.0108","0.4000","0.4088","supporting","0.0975","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5475","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_16","16","Direct foreign sales and service outlets of an organization.","cluster_oversight_strategy","Supplemental","0.0104","0.5476","0.7086","supporting","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4550","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_17","17","Assess marketing potential of new and existing store locations, considering statistics and expenditures.","cluster_analysis","Supplemental","0.0121","0.4172","0.5130","optional","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4550","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_2","2","Monitor customer preferences to determine focus of sales efforts.","cluster_client_interaction","Core","0.0560","0.9092","0.8739","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6170","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_3","3","Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate, or other subjects of sale.","cluster_coordination","Core","0.0163","0.7450","0.8019","core","0.0865","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5575","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_4","4","Determine price schedules and discount rates.","cluster_coordination","Core","0.0160","0.7388","0.7983","core","0.0865","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5395","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_5","5","Review operational records and reports to project sales and determine profitability.","cluster_documentation","Core","0.0173","0.5860","0.5167","supporting","0.0975","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5925","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_6","6","Direct, coordinate, and review sales and service accounting and record-keeping, as well as receiving and shipping.","cluster_coordination","Core","0.0113","0.6024","0.7192","supporting","0.0865","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5575","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_7","7","Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.","cluster_client_interaction","Core","0.0137","0.6906","0.7471","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6170","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_8","8","Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.","cluster_client_interaction","Core","0.0121","0.6472","0.7220","core","0.2365","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5855","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_9","9","Prepare budgets and approve budget expenditures.","cluster_drafting","Core","0.0147","0.5616","0.5167","supporting","0.3175","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.4770","seeded_from_onet_task_inventory"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_01","jd_sm_01","Coach sales reps and enforce KPI, pipeline, and deal-review discipline so the team improves execution instead of just reporting activity.","cluster_oversight_strategy","Core","0.0507","0.9800","0.9594","core","0.3175","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7065","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_02","jd_sm_02","Inspect forecasts, pipeline health, CRM data, and conversion patterns to identify where deals or reps need intervention.","cluster_analysis","Core","0.0503","0.8288","0.7517","core","0.3175","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7065","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_03","jd_sm_03","Shape territory, account, and deal strategy by helping reps choose priorities, messaging, and next-step decisions in live opportunities.","cluster_decision_support","Core","0.0461","0.9008","0.9153","core","0.4910","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7520","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm_04","jd_sm_04","Coordinate recruiting, onboarding, and cross-functional deal support so team capacity and execution stay aligned with revenue goals.","cluster_coordination","Core","0.0433","0.8252","0.8484","core","0.0865","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7555","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm2_01","jd_sm2_01","Review calls, deals, and pipeline behavior to check execution quality and identify where reps need specific coaching or correction.","cluster_qa_review","Core","0.0442","0.7176","0.6672","core","0.3175","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7065","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm2_02","jd_sm2_02","Maintain forecasting cadences, CRM discipline, and inspection routines so sales management runs on current and usable information.","cluster_workflow_admin","Core","0.0497","0.6280","0.4698","supporting","0.4820","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7485","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm2_03","jd_sm2_03","Handle important customer or partner conversations when live deals require senior judgment, trust repair, or commercial reassurance.","cluster_client_interaction","Core","0.0376","0.7464","0.7795","core","0.2365","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.8150","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_jd_sm2_04","jd_sm2_04","Build playbooks, enablement materials, and manager guidance that standardize how the team sells and improves over time.","cluster_documentation","Core","0.0444","0.5800","0.5132","supporting","0.0975","src_manual_job_description_review_2026_03|src_v2_role_graph_seed_2026_03","0.7590","seeded_from_job_description_expansion"
"occ_11_2022_00","task_occ_11_2022_00_manual_sm_01","manual_sm_01","Reset territory, coverage, and pipeline priorities when the team’s current selling motion stops matching the market.","cluster_oversight_strategy","Core","0.0477","0.9800","0.9594","core","0.3175","src_manual_role_graph_review_2026_03","0.7065","seeded_from_manual_task_expansion"
"occ_11_2022_00","task_occ_11_2022_00_manual_sm_02","manual_sm_02","Inspect deal slippage, rep execution, and forecast quality to decide where manager intervention changes outcomes.","cluster_analysis","Core","0.0490","0.8164","0.7445","core","0.3175","src_manual_role_graph_review_2026_03","0.7065","seeded_from_manual_task_expansion"
"occ_11_2022_00","task_occ_11_2022_00_manual_sm_03","manual_sm_03","Coordinate pricing, approvals, staffing, and executive support when large deals require more than frontline rep effort.","cluster_coordination","Core","0.0461","0.8408","0.8575","core","0.0865","src_manual_role_graph_review_2026_03","0.7555","seeded_from_manual_task_expansion"
"occ_11_3021_00","task_occ_11_3021_00_15198","15198","Provide users with technical support for computer problems.","cluster_drafting","Core","0.0855","0.7650","0.6627","core","0.1690","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5105","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_966","966","Manage backup, security and user help systems.","cluster_oversight_strategy","Supplemental","0.0912","0.9060","0.9613","core","0.0210","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.3430","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_967","967","Consult with users, management, vendors, and technicians to assess computing needs and system requirements.","cluster_analysis","Core","0.0162","0.6802","0.5583","supporting","0.2470","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5965","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_968","968","Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.","cluster_analysis","Core","0.0302","0.7780","0.6150","core","0.2470","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6100","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_969","969","Assign and review the work of systems analysts, programmers, and other computer-related workers.","cluster_qa_review","Core","0.0173","0.6808","0.5361","supporting","0.2860","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6310","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_970","970","Stay abreast of advances in technology.","cluster_drafting","Core","0.0164","0.5864","0.5591","supporting","0.1690","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5105","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_971","971","Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.","cluster_drafting","Core","0.0167","0.5926","0.5627","supporting","0.1690","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.5600","seeded_from_onet_task_inventory"
"occ_11_3021_00","task_occ_11_3021_00_972","972","Review and approve all systems charts and programs prior to their implementation.","cluster_qa_review","Core","0.0153","0.6154","0.4981","supporting","0.2860","src_onet_30_1|src_v2_role_graph_seed_2026_03","0.6310","seeded_from_onet_task_inventory"
