"occupation_id","function_id","accountability_statement","primary_output","primary_stakeholder","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","bargaining_power_retention","source_mix","source_confidence","notes"
"occ_11_9141_00","fn_occ_11_9141_00_resident_vendor_stewardship","Remain accountable for stakeholder communication, service continuity, and escalation when site issues become material.","Stable property experience and service continuity","Resident, vendor, and asset owner","0.7200","0.8200","0.4600","0.4600","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1023_00","fn_occ_13_1023_00_primary","Remain accountable for supplier judgment, contract fit, and escalation when delivery, price, or compliance risks change.","Defensible sourcing decisions and executed procurement","Internal requestor and supplier base","0.7200","0.7000","0.5600","0.5800","0.6400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1023_00","fn_occ_13_1023_00_vendor_relationship_stewardship","Remain accountable for vendor judgment, relationship quality, and escalation when suppliers or terms stop fitting operational needs.","Stable supplier relationships and procurement continuity","Internal requestor and supplier base","0.7200","0.7600","0.5000","0.4800","0.6200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1031_00","fn_occ_13_1031_00_investigation_coordination","Remain accountable for investigation flow, communication quality, and escalation when evidence is incomplete or contested.","Execution-ready investigation flow and documented follow-through","Claimant, carrier, and legal partner","0.7600","0.7800","0.6800","0.5200","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1031_00","fn_occ_13_1031_00_primary","Remain accountable for investigative judgment, settlement quality, and escalation of contested or high-risk claims.","Defensible claim decisions and documented resolutions","Claimant, carrier, and legal partner","0.7800","0.7800","0.7000","0.6000","0.6800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1041_00","fn_occ_13_1041_00_control_enablement","Remain accountable for implementation clarity, control usability, and escalation of higher-risk issues.","Workable control processes and escalations","Operating teams and leadership","0.7600","0.7400","0.7000","0.5800","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1041_00","fn_occ_13_1041_00_primary","Remain accountable for control adequacy, escalation of material issues, and compliance interpretation.","Defensible compliance decisions and control evidence","Leadership, regulator, and operating team","0.8400","0.8000","0.7800","0.7000","0.7600","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1051_00","fn_occ_13_1051_00_commercial_coordination","Remain accountable for estimate communication, assumption handoff, and escalation when revisions materially change the commercial picture.","Aligned estimate handoff and commercial follow-through","Project lead and commercial owner","0.7400","0.6600","0.3200","0.4200","0.6000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1051_00","fn_occ_13_1051_00_primary","Remain accountable for estimate quality, assumption clarity, and escalation when scope or pricing uncertainty changes materially.","Defensible project cost estimates","Project lead and commercial owner","0.7200","0.6600","0.3600","0.5000","0.6200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1071_00","fn_occ_13_1071_00_people_advisory","Remain accountable for policy interpretation, escalation quality, and context-sensitive people guidance.","Context-sensitive people guidance and escalations","Managers, employees, and HR leadership","0.8000","0.7800","0.4800","0.5800","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1071_00","fn_occ_13_1071_00_primary","Remain accountable for fair process, employee context handling, and policy alignment.","Reliable people-process outcomes","Employees and managers","0.6800","0.7600","0.5400","0.5600","0.6600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_13_1081_00","fn_occ_13_1081_00_logistics_flow_coordination","Remain accountable for coordination quality, escalation speed, and tradeoffs when supply flow breaks from plan.","Resolved logistics exceptions and coordinated supply flow","Suppliers, carriers, field teams, and operators","0.7400","0.7000","0.3000","0.4800","0.6000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1081_00","fn_occ_13_1081_00_primary","Remain accountable for workflow reliability, escalation quality, and control discipline.","Reliable service or operational execution","Internal teams, customers, or leadership","0.6200","0.6400","0.4800","0.5000","0.5800","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_13_1082_00","fn_occ_13_1082_00_primary","Remain accountable for delivery alignment, dependency management, and escalation quality.","Coordinated delivery plans and execution","Leadership, team, and customer","0.8000","0.7400","0.3400","0.6400","0.7400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1082_00","fn_occ_13_1082_00_stakeholder_alignment","Remain accountable for escalation quality, stakeholder alignment, and real-world delivery tradeoffs.","Aligned stakeholders and resolved delivery tradeoffs","Leadership, team, and customer","0.7800","0.7600","0.2800","0.5800","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1111_00","fn_occ_13_1111_00_change_enablement","Remain accountable for implementation realism, stakeholder alignment, and escalation when recommendations break in practice.","Adopted change and aligned implementation","Leadership and operating teams","0.8000","0.7600","0.2600","0.5800","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1111_00","fn_occ_13_1111_00_primary","Remain accountable for problem framing, recommendation logic, and expected organizational impact.","Client-ready recommendations and operating-model changes","Client sponsor and leadership","0.8200","0.7400","0.3200","0.6600","0.7600","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1151_00","fn_occ_13_1151_00_learning_delivery_alignment","Remain accountable for release readiness, subject-matter alignment, and escalation when training delivery drifts from workflow reality.","Coordinated training rollout and revision priorities","Product, operations, and enablement teams","0.7200","0.6800","0.2000","0.4200","0.5600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1151_00","fn_occ_13_1151_00_primary","Remain accountable for learning-design quality, learner fit, and escalation when training gaps block adoption.","Adoptable training programs and learning assets","Learners, managers, and enablement leaders","0.7400","0.7000","0.2800","0.4600","0.6200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_1161_00","fn_occ_13_1161_00_marketing_ops","Remain accountable for measurement integrity, workflow reliability, and escalation when funnel or automation systems distort decisions.","Coordinated marketing measurement and funnel workflow","Marketing lead, sales, and revenue operations","0.6600","0.6000","0.2000","0.4200","0.5400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1161_00","fn_occ_13_1161_00_primary","Remain accountable for interpretation quality, message-market fit, and decision usefulness.","Market insight and go-to-market recommendations","Revenue owner, product team, and customer","0.7000","0.6400","0.2800","0.4800","0.6200","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_13_1199_00","fn_occ_13_1199_00_operational_followthrough","Remain accountable for implementation discipline, tracker integrity, and escalation when process changes break in live execution.","Adopted operating routines and follow-through","Internal teams and operating leadership","0.7200","0.6600","0.2400","0.4600","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_1199_00","fn_occ_13_1199_00_primary","Remain accountable for diagnosis quality, recommendation logic, and expected business outcomes.","Actionable recommendations and change plans","Client or business sponsor","0.7400","0.7000","0.3600","0.6000","0.7200","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_13_2011_00","fn_occ_13_2011_00_audit_assurance","Remain accountable for assurance quality, control-testing rigor, and escalation of material audit findings, but not for most final executive sign-off.","Defensible audit findings and remediation priorities","Controllers, finance leadership, regulators, and audit committees","0.8200","0.7600","0.5600","0.6200","0.7000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_2011_00","fn_occ_13_2011_00_finance_advisory","Remain accountable for interpretation quality, financial control judgment, and escalation of material issues.","Decision-ready financial guidance","Leadership and operating owners","0.8200","0.7200","0.5600","0.6000","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_2011_00","fn_occ_13_2011_00_primary","Remain accountable for financial correctness, control discipline, and compliance quality.","Reliable financial statements and control judgments","Management, investor, and regulator","0.8200","0.7600","0.7000","0.6200","0.7400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_2051_00","fn_occ_13_2051_00_primary","Remain accountable for correctness, financial control, and decision relevance.","Reliable financial records, analysis, and controls","Management, investors, and regulators","0.5800","0.5400","0.3800","0.4800","0.6400","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase32_guardrail_correction"
"occ_13_2051_00","fn_occ_13_2051_00_stakeholder_translation","Remain accountable for interpretation quality, recommendation clarity, and fit between financial models and business decisions.","Decision-ready financial recommendations and tradeoffs","Finance leadership and business partners","0.6400","0.5600","0.2800","0.4400","0.6000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase32_guardrail_correction"
"occ_13_2052_00","fn_occ_13_2052_00_primary","Remain accountable for advice quality, relationship trust, and escalation when client suitability or compliance risks change.","Client-ready financial plans and recommendations","Client and advisory firm","0.8400","0.8800","0.6200","0.6000","0.7800","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_2052_00","fn_occ_13_2052_00_relationship_book_stewardship","Remain accountable for relationship quality, continuity of guidance, and escalation when client needs or risk posture change materially.","Maintained client trust and advisory continuity","Client and advisory firm","0.8200","0.9000","0.5400","0.4600","0.8000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_13_2072_00","fn_occ_13_2072_00_primary","Remain accountable for client guidance, application quality, and escalation when credit risk or policy fit is unclear.","Qualified loan applications and lending recommendations","Borrower and lending institution","0.7600","0.8000","0.6200","0.5800","0.7000","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_13_2072_00","fn_occ_13_2072_00_relationship_portfolio_guidance","Remain accountable for client guidance, relationship quality, and escalation when borrower needs or policy fit become ambiguous.","Sustained borrower momentum and portfolio fit guidance","Borrower and lending institution","0.7600","0.8200","0.5800","0.4800","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_1211_00","fn_occ_15_1211_00_primary","Remain accountable for software quality, technical tradeoffs, and production behavior.","Working software systems","Users, customers, and technical stakeholders","0.5000","0.4400","0.2400","0.4200","0.5600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_sysanalyst_guardrail_correction|phase33_guardrail_correction"
"occ_15_1211_00","fn_occ_15_1211_00_requirements_translation","Remain accountable for requirements quality, stakeholder interpretation, and fit between systems and workflow reality.","Adoptable requirements and system tradeoffs","Business stakeholders and implementation teams","0.5200","0.5200","0.2200","0.4000","0.5400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase31_sysanalyst_guardrail_correction|phase33_guardrail_correction"
"occ_15_1212_00","fn_occ_15_1212_00_incident_readiness","Remain accountable for response readiness, escalation quality, and evidence discipline when active threats emerge.","Security-incident readiness and coordinated defensive action","Security leadership and operating teams","0.8200","0.7400","0.7200","0.5600","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_1212_00","fn_occ_15_1212_00_primary","Remain accountable for risk triage, control judgment, and escalation when threats exceed routine remediation.","Reduced security risk and defensible control actions","Organization, users, and security leadership","0.8200","0.7600","0.7200","0.6200","0.7200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_1232_00","fn_occ_15_1232_00_primary","Remain accountable for diagnosis quality, user handoff, and escalation when issues exceed frontline support.","Restored user productivity and usable systems","Employee or end user","0.6400","0.7200","0.2400","0.4600","0.5600","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_1232_00","fn_occ_15_1232_00_workflow_adoption_enablement","Remain accountable for user enablement quality, support handoff clarity, and escalation when issues require deeper technical ownership.","Usable support guidance and smoother tool adoption","Employee or end user","0.6400","0.7400","0.2000","0.4000","0.5200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_1241_00","fn_occ_15_1241_00_implementation_governance","Remain accountable for standards fit, implementation governance, and escalation when build decisions weaken the architecture.","Governed network implementation and standards adherence","Operators and technical leadership","0.8200","0.6600","0.4400","0.6000","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_1241_00","fn_occ_15_1241_00_primary","Remain accountable for architecture quality, reliability tradeoffs, and escalation when implementation diverges from design intent.","Defensible network architecture and standards","Users, operators, and technical leadership","0.8400","0.6800","0.5200","0.6800","0.7200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_1244_00","fn_occ_15_1244_00_incident_response_coordination","Remain accountable for response coordination, service communication, and escalation when incidents exceed routine administration.","Coordinated incident response and service recovery","Users, operators, and IT leadership","0.7200","0.6600","0.3600","0.4600","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_1244_00","fn_occ_15_1244_00_primary","Remain accountable for uptime, recovery readiness, and escalation when infrastructure risk exceeds routine administration.","Reliable network and system operations","Users, operators, and IT leadership","0.7400","0.6600","0.4400","0.5600","0.6400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_1252_00","fn_occ_15_1252_00_primary","Remain accountable for software quality, technical tradeoffs, and production behavior.","Working software systems","Users, customers, and technical stakeholders","0.6200","0.4800","0.2600","0.5000","0.6200","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase32_guardrail_correction"
"occ_15_1252_00","fn_occ_15_1252_00_system_reliability","Remain accountable for production behavior, review quality, and technical integrity.","Reliable software behavior and maintainability","Users, operators, and engineering team","0.6200","0.4600","0.3000","0.5200","0.6000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase32_guardrail_correction"
"occ_15_1253_00","fn_occ_15_1253_00_primary","Remain accountable for test coverage, defect clarity, and escalation when software is not ready to ship.","Defensible quality evidence and release readiness","Engineering, product, and user","0.7800","0.6800","0.3400","0.5400","0.6200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_1253_00","fn_occ_15_1253_00_test_automation_enablement","Remain accountable for test-program usefulness, quality workflow fit, and escalation when automation hides product risk.","Reusable test tooling and repeatable quality workflow","Engineering and quality teams","0.7400","0.6400","0.2800","0.4400","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_2031_00","fn_occ_15_2031_00_decision_translation","Remain accountable for model interpretation, recommendation quality, and fit between analytical outputs and operational decisions.","Decision-ready recommendations and workflow guidance","Operators, product leaders, and business stakeholders","0.8000","0.7000","0.2400","0.5200","0.6400","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_15_2031_00","fn_occ_15_2031_00_primary","Remain accountable for analytical validity, interpretation quality, and downstream decision usefulness.","Decision-ready analysis and models","Business or technical decision-maker","0.7600","0.6200","0.3400","0.5600","0.6600","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_15_2051_00","fn_occ_15_2051_00_primary","Remain accountable for analytical framing, model validity, and practical interpretation of outputs.","Decision-ready models and analysis","Business and technical decision-makers","0.8600","0.6600","0.3600","0.6400","0.7200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile"
"occ_15_2051_00","fn_occ_15_2051_00_stakeholder_translation","Remain accountable for analytical interpretation, stakeholder clarity, and responsible handoff into action.","Decision-ready interpretation and stakeholder alignment","Business and technical stakeholders","0.8200","0.6800","0.2600","0.5600","0.6600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_17_2051_00","fn_occ_17_2051_00_primary","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.7800","0.6400","0.5600","0.6800","0.7000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_17_2051_00","fn_occ_17_2051_00_project_delivery_integration","Remain accountable for integration quality, issue escalation, and coordination when site or project realities pressure the design.","Integrated project delivery and engineering follow-through","Project team, public agency, and client","0.7800","0.6800","0.6200","0.5600","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_17_2071_00","fn_occ_17_2071_00_primary","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.7800","0.6400","0.5600","0.6800","0.7000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_17_2071_00","fn_occ_17_2071_00_validation_integration","Remain accountable for validation quality, issue escalation, and integration tradeoffs when build reality pressures the design.","Validated electrical integration and production readiness","Engineering team and operator","0.8000","0.6600","0.5800","0.5600","0.6800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_17_2072_00","fn_occ_17_2072_00_electronics_validation_integration","Remain accountable for validation quality, integration fit, and escalation when design choices stop fitting system or manufacturing constraints.","Validated and integration-ready electronic designs","Engineering, manufacturing, and systems teams","0.8000","0.7000","0.4000","0.5400","0.6200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_17_2072_00","fn_occ_17_2072_00_primary","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.7800","0.6400","0.5600","0.6800","0.7000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_17_2112_00","fn_occ_17_2112_00_change_implementation","Remain accountable for implementation realism, rollout quality, and escalation when the designed process fails in practice.","Implemented process improvements and validated workflow change","Operations leadership and plant teams","0.7400","0.6400","0.3600","0.4800","0.6200","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile"
"occ_17_2112_00","fn_occ_17_2112_00_primary","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.7800","0.6400","0.5600","0.6800","0.7000","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile"
"occ_17_2141_00","fn_occ_17_2141_00_primary","Remain accountable for system performance, safety, and engineering judgment.","Reliable technical systems and design decisions","Users, operators, and engineering stakeholders","0.5800","0.5000","0.4200","0.4600","0.6200","src_role_function_seed_2026_03","0.7400","reviewed_primary_accountability_profile|phase31_mech_eng_guardrail_correction|phase33_guardrail_correction"
"occ_17_2141_00","fn_occ_17_2141_00_validation_integration","Remain accountable for verification quality, integration tradeoffs, and release readiness when designs move into buildable integrity.","Validated and integration-ready mechanical designs","Manufacturing, systems, and engineering teams","0.6000","0.5400","0.3200","0.4400","0.5800","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase33_guardrail_correction"
"occ_23_1011_00","fn_occ_23_1011_00_matter_preparation","Remain accountable for factual quality, procedural fitness, and escalation when preparation work changes legal risk.","Matter-ready legal work product","Attorney and client team","0.7000","0.6200","0.5200","0.5000","0.6000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase32_guardrail_correction"
"occ_23_1011_00","fn_occ_23_1011_00_primary","Remain professionally accountable for legal judgment, client advocacy, ethical duties, and final representation decisions.","Legally accountable advice and representation","Client, court, and institution","0.8400","0.8000","0.7400","0.8600","0.9200","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase32_guardrail_correction"
"occ_23_2011_00","fn_occ_23_2011_00_matter_coordination","Remain accountable for deadline integrity, packet readiness, and escalation when procedural work blocks attorney action.","Execution-ready legal matter flow","Attorney, client, and legal operations team","0.5200","0.4800","0.2800","0.3600","0.5000","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase31_paralegal_liability_correction|phase33_guardrail_correction"
"occ_23_2011_00","fn_occ_23_2011_00_primary","Remain accountable for procedural reliability, record quality, and escalation of issues that require attorney judgment.","Matter-ready case support","Attorney and legal team","0.5400","0.5000","0.3000","0.4000","0.5400","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.8800","reviewed_primary_accountability_profile|phase31_paralegal_liability_correction|phase33_guardrail_correction"
"occ_27_1024_00","fn_occ_27_1024_00_brand_system_stewardship","Remain accountable for brand coherence, review quality, and escalation when stakeholder conflict or production constraints change the work.","Approved creative systems and release-ready assets","Marketing, product, and brand stakeholders","0.5600","0.5200","0.1200","0.4000","0.5600","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.8600","reviewed_supplemental_accountability_profile|phase32_guardrail_correction"
